country_id,Capital,start,end,current
9877,Ulaanbaatar,01.01.1900,31.12.9999,1
1357,Podgorica,01.01.1900,31.12.9999,1
6446,Brades,01.01.1900,31.12.9999,1
3324,Rabat,01.01.1900,31.12.9999,1
9850,Maputo,01.01.1900,31.12.9999,1
7797,Nay Pyi Taw,01.01.1900,31.12.9999,1
2703,Windhoek,01.01.1900,31.12.9999,1
9288,Yaren,01.01.1900,31.12.9999,1
3315,Kathmandu,01.01.1900,31.12.9999,1
7531,Amsterdam,01.01.1900,31.12.9999,1
5635,Nouméa,01.01.1900,31.12.9999,1
1811,Wellington,01.01.1900,31.12.9999,1
6130,Managua,01.01.1900,31.12.9999,1
1507,Niamey,01.01.1900,31.12.9999,1
4777,Abuja,01.01.1900,31.12.9999,1
7875,Alofi,01.01.1900,31.12.9999,1
4718,Pyongyang,01.01.1900,31.12.9999,1
6127,Skopje,01.01.1900,31.12.9999,1
1019,Saipan,01.01.1900,31.12.9999,1
4283,Oslo,01.01.1900,31.12.9999,1
2939,Muscat,01.01.1900,31.12.9999,1
5946,Islamabad,01.01.1900,31.12.9999,1
7978,Ngerulmud,01.01.1900,31.12.9999,1
2232,Panama City,01.01.1900,31.12.9999,1
6499,Port Moresby,01.01.1900,31.12.9999,1
8530,Asunción,01.01.1900,31.12.9999,1
2693,Lima,01.01.1900,31.12.9999,1
1477,Manila,01.01.1900,31.12.9999,1
7322,Warsaw,01.01.1900,31.12.9999,1
4885,Lisbon,01.01.1900,31.12.9999,1
7373,San Juan,01.01.1900,31.12.9999,1
3352,Doha,01.01.1900,31.12.9999,1
6771,Bucharest,01.01.1900,31.12.9999,1
6070,Moscow,01.01.1900,31.12.9999,1
7426,Kigali,01.01.1900,31.12.9999,1
9065,Gustavia,01.01.1900,31.12.9999,1
9260,Castries,01.01.1900,31.12.9999,1
7092,Marigot,01.01.1900,31.12.9999,1
3283,Apia,01.01.1900,31.12.9999,1
6251,San Marino,01.01.1900,31.12.9999,1
7391,Riyadh,01.01.1900,31.12.9999,1
5951,Dakar,01.01.1900,31.12.9999,1
1245,Belgrade,01.01.1900,31.12.9999,1
3813,Victoria,01.01.1900,31.12.9999,1
2946,Freetown,01.01.1900,31.12.9999,1
7069,Singapore,01.01.1900,31.12.9999,1
9088,Philipsburg,01.01.1900,31.12.9999,1
3625,Bratislava,01.01.1900,31.12.9999,1
5516,Ljubljana,01.01.1900,31.12.9999,1
9888,Honiara,01.01.1900,31.12.9999,1
6544,Mogadishu,01.01.1900,31.12.9999,1
6951,Pretoria,01.01.1900,31.12.9999,1
7514,Seoul,01.01.1900,31.12.9999,1
1955,Juba,01.01.1900,31.12.9999,1
7526,Madrid,01.01.1900,31.12.9999,1
7632,Colombo,01.01.1900,31.12.9999,1
4452,Khartoum,01.01.1900,31.12.9999,1
9954,Paramaribo,01.01.1900,31.12.9999,1
9171,Stockholm,01.01.1900,31.12.9999,1
9995,Bern,01.01.1900,31.12.9999,1
9598,Damascus,01.01.1900,31.12.9999,1
1623,Taipei,01.01.1900,31.12.9999,1
8108,Dushanbe,01.01.1900,31.12.9999,1
5605,Dodoma,01.01.1900,31.12.9999,1
3514,Bangkok,01.01.1900,31.12.9999,1
8258,Dili,01.01.1900,31.12.9999,1
3763,Lomé,01.01.1900,31.12.9999,1
4810,Nukunonu,01.01.1900,31.12.9999,1
7376,Nuku‘alofa,01.01.1900,31.12.9999,1
4402,Port-of-Spain,01.01.1900,31.12.9999,1
2097,Tunis,01.01.1900,31.12.9999,1
3095,Ankara,01.01.1900,31.12.9999,1
6898,Ashgabat,01.01.1900,31.12.9999,1
6928,Funafuti,01.01.1900,31.12.9999,1
3793,Kampala,01.01.1900,31.12.9999,1
8670,Kiev,01.01.1900,31.12.9999,1
3348,Abu Dhabi,01.01.1900,31.12.9999,1
8898,London,01.01.1900,31.12.9999,1
8163,"Washington, D.C.",01.01.1900,31.12.9999,1
8338,Montevideo,01.01.1900,31.12.9999,1
7220,Tashkent,01.01.1900,31.12.9999,1
9145,Port-Vila,01.01.1900,31.12.9999,1
4005,Caracas,01.01.1900,31.12.9999,1
6369,Hanoi,01.01.1900,31.12.9999,1
7483,El Aaiún,01.01.1900,31.12.9999,1
7872,Sanaa,01.01.1900,31.12.9999,1
9480,Lusaka,01.01.1900,31.12.9999,1
2658,Harare,01.01.1900,31.12.9999,1
