country_id,Rank,start,end,current
2050,36,01.01.1900,31.12.9999,1
5181,138,01.01.1900,31.12.9999,1
4586,34,01.01.1900,31.12.9999,1
9350,213,01.01.1900,31.12.9999,1
9230,203,01.01.1900,31.12.9999,1
9448,42,01.01.1900,31.12.9999,1
5604,224,01.01.1900,31.12.9999,1
8745,201,01.01.1900,31.12.9999,1
5231,33,01.01.1900,31.12.9999,1
1972,140,01.01.1900,31.12.9999,1
8217,198,01.01.1900,31.12.9999,1
7859,55,01.01.1900,31.12.9999,1
5484,99,01.01.1900,31.12.9999,1
2557,91,01.01.1900,31.12.9999,1
3976,176,01.01.1900,31.12.9999,1
5160,154,01.01.1900,31.12.9999,1
3421,8,01.01.1900,31.12.9999,1
8963,186,01.01.1900,31.12.9999,1
4288,96,01.01.1900,31.12.9999,1
2934,81,01.01.1900,31.12.9999,1
1945,177,01.01.1900,31.12.9999,1
5854,77,01.01.1900,31.12.9999,1
5017,206,01.01.1900,31.12.9999,1
5833,165,01.01.1900,31.12.9999,1
8863,80,01.01.1900,31.12.9999,1
2086,137,01.01.1900,31.12.9999,1
6025,144,01.01.1900,31.12.9999,1
5643,7,01.01.1900,31.12.9999,1
8750,221,01.01.1900,31.12.9999,1
1038,175,01.01.1900,31.12.9999,1
4114,108,01.01.1900,31.12.9999,1
3270,58,01.01.1900,31.12.9999,1
5785,78,01.01.1900,31.12.9999,1
1475,73,01.01.1900,31.12.9999,1
2910,53,01.01.1900,31.12.9999,1
4227,39,01.01.1900,31.12.9999,1
5564,171,01.01.1900,31.12.9999,1
1710,205,01.01.1900,31.12.9999,1
1420,117,01.01.1900,31.12.9999,1
9053,69,01.01.1900,31.12.9999,1
8151,65,01.01.1900,31.12.9999,1
4783,1,01.01.1900,31.12.9999,1
8433,28,01.01.1900,31.12.9999,1
2225,163,01.01.1900,31.12.9999,1
1998,223,01.01.1900,31.12.9999,1
5481,124,01.01.1900,31.12.9999,1
9225,130,01.01.1900,31.12.9999,1
5830,85,01.01.1900,31.12.9999,1
5520,158,01.01.1900,31.12.9999,1
9936,115,01.01.1900,31.12.9999,1
8382,160,01.01.1900,31.12.9999,1
1484,204,01.01.1900,31.12.9999,1
4632,84,01.01.1900,31.12.9999,1
8990,67,01.01.1900,31.12.9999,1
5730,14,01.01.1900,31.12.9999,1
8331,112,01.01.1900,31.12.9999,1
5493,152,01.01.1900,31.12.9999,1
1933,132,01.01.1900,31.12.9999,1
4556,156,01.01.1900,31.12.9999,1
2855,159,01.01.1900,31.12.9999,1
1077,12,01.01.1900,31.12.9999,1
1812,231,01.01.1900,31.12.9999,1
8902,209,01.01.1900,31.12.9999,1
2666,162,01.01.1900,31.12.9999,1
8325,118,01.01.1900,31.12.9999,1
2491,23,01.01.1900,31.12.9999,1
6137,184,01.01.1900,31.12.9999,1
1540,183,01.01.1900,31.12.9999,1
9323,146,01.01.1900,31.12.9999,1
1968,142,01.01.1900,31.12.9999,1
6192,131,01.01.1900,31.12.9999,1
2447,19,01.01.1900,31.12.9999,1
1680,47,01.01.1900,31.12.9999,1
5059,219,01.01.1900,31.12.9999,1
7791,90,01.01.1900,31.12.9999,1
9550,208,01.01.1900,31.12.9999,1
1866,193,01.01.1900,31.12.9999,1
1376,178,01.01.1900,31.12.9999,1
8106,191,01.01.1900,31.12.9999,1
8657,68,01.01.1900,31.12.9999,1
9599,75,01.01.1900,31.12.9999,1
5294,149,01.01.1900,31.12.9999,1
2843,164,01.01.1900,31.12.9999,1
6415,82,01.01.1900,31.12.9999,1
1086,89,01.01.1900,31.12.9999,1
7703,104,01.01.1900,31.12.9999,1
9064,94,01.01.1900,31.12.9999,1
7843,179,01.01.1900,31.12.9999,1
7159,2,01.01.1900,31.12.9999,1
3993,4,01.01.1900,31.12.9999,1
7987,17,01.01.1900,31.12.9999,1
3959,35,01.01.1900,31.12.9999,1
7100,125,01.01.1900,31.12.9999,1
3808,202,01.01.1900,31.12.9999,1
9089,98,01.01.1900,31.12.9999,1
5288,25,01.01.1900,31.12.9999,1
6674,139,01.01.1900,31.12.9999,1
6552,11,01.01.1900,31.12.9999,1
4363,83,01.01.1900,31.12.9999,1
4450,66,01.01.1900,31.12.9999,1
3754,27,01.01.1900,31.12.9999,1
5939,192,01.01.1900,31.12.9999,1
5927,129,01.01.1900,31.12.9999,1
8847,110,01.01.1900,31.12.9999,1
1313,103,01.01.1900,31.12.9999,1
3111,151,01.01.1900,31.12.9999,1
1899,119,01.01.1900,31.12.9999,1
1612,147,01.01.1900,31.12.9999,1
9882,121,01.01.1900,31.12.9999,1
9669,107,01.01.1900,31.12.9999,1
3125,216,01.01.1900,31.12.9999,1
9898,141,01.01.1900,31.12.9999,1
