country_id,date,value
366,1981-01-01,
239,1981-01-01,17.1
443,1981-01-01,3.5
560,1981-01-01,13.0
689,1981-01-01,-10.8
367,1981-01-01,6.2
441,1981-01-01,5.1
181,1981-01-01,2.3
640,1981-01-01,5.5
135,1981-01-01,0.9
366,1981-01-01,2.6
169,1981-01-01,-2.3
815,1981-01-01,
966,1981-01-01,3.1
172,1981-01-01,
79,1981-01-01,3.5
604,1981-01-01,-0.7
175,1981-01-01,
683,1981-01-01,10.8
848,1981-01-01,4.3
852,1981-01-01,3.9
646,1981-01-01,2.2
531,1981-01-01,-5.7
217,1981-01-01,5.8
641,1981-01-01,
426,1981-01-01,
625,1981-01-01,6.9
19,1981-01-01,0.0
208,1981-01-01,6.0
68,1981-01-01,1.3
52,1981-01-01,1.1
157,1981-01-01,-4.0
469,1981-01-01,-9.5
183,1981-01-01,
708,1981-01-01,0.1
858,1981-01-01,-3.8
195,1981-01-01,-1.6
145,1981-01-01,1.4
294,1981-01-01,0.6
932,1981-01-01,0.6
72,1981-01-01,-0.5
517,1981-01-01,0.6
500,1981-01-01,1.1
84,1981-01-01,-1.2
767,1981-01-01,9.2
837,1981-01-01,2.9
997,1981-01-01,4.3
346,1981-01-01,6.0
312,1981-01-01,7.6
472,1981-01-01,-5.7
902,1981-01-01,
824,1981-01-01,2.5
665,1981-01-01,4.7
91,1981-01-01,0.6
831,1981-01-01,4.4
894,1981-01-01,4.2
480,1981-01-01,15.0
485,1981-01-01,
567,1981-01-01,4.1
484,1981-01-01,0.2
24,1981-01-01,7.2
499,1981-01-01,
392,1981-01-01,
743,1981-01-01,
140,1981-01-01,15.3
751,1981-01-01,
41,1981-01-01,0.5
646,1981-01-01,3.1
360,1981-01-01,
822,1981-01-01,-20.0
218,1981-01-01,
235,1981-01-01,0.8
723,1981-01-01,
742,1981-01-01,-9.8
715,1981-01-01,-5.2
186,1981-01-01,6.9
892,1981-01-01,7.9
125,1981-01-01,-4.5
338,1981-01-01,2.7
841,1981-01-01,
529,1981-01-01,
526,1981-01-01,5.9
92,1981-01-01,9.6
909,1981-01-01,
18,1981-01-01,
871,1981-01-01,8.4
273,1981-01-01,
515,1981-01-01,-2.8
859,1981-01-01,5.0
359,1981-01-01,
135,1981-01-01,
101,1981-01-01,
768,1981-01-01,8.3
790,1981-01-01,-0.5
774,1981-01-01,3.0
211,1981-01-01,5.4
859,1981-01-01,-0.2
555,1981-01-01,
680,1981-01-01,
16,1981-01-01,1.6
427,1981-01-01,17.1
282,1981-01-01,6.2
356,1981-01-01,
900,1981-01-01,9.2
205,1981-01-01,1.1
644,1981-01-01,9.2
61,1981-01-01,5.5
256,1981-01-01,3.4
616,1981-01-01,-10.0
775,1981-01-01,3.5
913,1981-01-01,1.1
587,1981-01-01,-3.9
465,1981-01-01,0.1
982,1981-01-01,
883,1981-01-01,2.5
948,1981-01-01,2.7
351,1981-01-01,5.1
43,1981-01-01,3.9
524,1981-01-01,-9.1
298,1981-01-01,
257,1981-01-01,1.9
24,1981-01-01,5.1
738,1981-01-01,
763,1981-01-01,-3.9
340,1981-01-01,1.9
39,1981-01-01,10.8
334,1981-01-01,
135,1981-01-01,
558,1981-01-01,-1.8
983,1981-01-01,
467,1981-01-01,5.4
71,1981-01-01,
839,1981-01-01,-0.4
492,1981-01-01,5.3
162,1981-01-01,6.3
340,1981-01-01,1.9
43,1981-01-01,4.5
389,1981-01-01,1.6
643,1981-01-01,8.5
568,1981-01-01,-10.3
720,1981-01-01,7.1
372,1981-01-01,
269,1981-01-01,0.5
663,1981-01-01,5.9
956,1981-01-01,
203,1981-01-01,-3.4
607,1981-01-01,14.0
98,1981-01-01,4.6
850,1981-01-01,5.5
531,1981-01-01,
765,1981-01-01,
939,1981-01-01,4.4
170,1981-01-01,3.9
809,1981-01-01,
313,1981-01-01,8.0
721,1981-01-01,-0.9
476,1981-01-01,2.5
879,1981-01-01,1.9
758,1981-01-01,
