country_id,date,value,country_id_hash
720,1980-01-01,8.0,9348887
372,1980-01-01,,63171500
269,1980-01-01,3.3,61338997
663,1980-01-01,4.6,59404558
956,1980-01-01,,2608017
203,1980-01-01,-2.3,17739986
607,1980-01-01,15.8,76135334
98,1980-01-01,10.4,46305738
850,1980-01-01,7.4,3985206
531,1980-01-01,,15428775
765,1980-01-01,,57282382
939,1980-01-01,-0.8,30576306
170,1980-01-01,-3.4,10315112
809,1980-01-01,,49251654
313,1980-01-01,-1.8,58384674
721,1980-01-01,-2.2,3080831
476,1980-01-01,-0.3,59885057
879,1980-01-01,6.0,78755218
758,1980-01-01,,64100421
655,1980-01-01,5.5,7577402
372,1980-01-01,-4.9,63171500
39,1980-01-01,-3.5,54218556
916,1980-01-01,,95082108
698,1980-01-01,,54064197
902,1980-01-01,3.9,39900920
515,1980-01-01,,97595539
507,1981-01-01,,88466734
101,1981-01-01,5.7,33791314
581,1981-01-01,3.0,69873062
283,1981-01-01,,5892424
383,1981-01-01,-4.4,84145927
492,1981-01-01,3.8,81801560
214,1981-01-01,-5.7,25426021
944,1981-01-01,,80560406
686,1981-01-01,,90452541
145,1981-01-01,4.1,20560328
907,1981-01-01,-0.1,8220049
736,1981-01-01,,76220858
201,1981-01-01,-2.9,70083219
768,1981-01-01,2.8,86898080
286,1981-01-01,3.8,85511984
377,1981-01-01,-1.9,76898047
4,1981-01-01,,6361900
587,1981-01-01,-0.3,71578930
360,1981-01-01,0.2,97957390
473,1981-01-01,1.9,88595042
259,1981-01-01,13.6,4053751
694,1981-01-01,0.3,87749401
263,1981-01-01,,64879567
713,1981-01-01,8.2,96081803
108,1981-01-01,-4.4,84398603
5,1981-01-01,,70900693
574,1981-01-01,5.3,80278245
467,1981-01-01,2.7,53021696
312,1981-01-01,12.2,57643641
549,1981-01-01,8.5,72282422
366,1981-01-01,,59805280
239,1981-01-01,17.1,52830773
443,1981-01-01,3.5,23013392
560,1981-01-01,13.0,82422592
689,1981-01-01,-10.8,47875248
367,1981-01-01,6.2,18938828
441,1981-01-01,5.1,9991475
181,1981-01-01,2.3,41161672
640,1981-01-01,5.5,45387969
135,1981-01-01,0.9,71792468
366,1981-01-01,2.6,59805280
169,1981-01-01,-2.3,74759091
815,1981-01-01,,15024232
966,1981-01-01,3.1,79476360
172,1981-01-01,,9318686
79,1981-01-01,3.5,10652375
604,1981-01-01,-0.7,37854619
175,1981-01-01,,83684836
683,1981-01-01,10.8,33288671
848,1981-01-01,4.3,93586470
852,1981-01-01,3.9,8966224
646,1981-01-01,2.2,14679614
531,1981-01-01,-5.7,15428775
217,1981-01-01,5.8,15068116
641,1981-01-01,,71050252
426,1981-01-01,,65445761
625,1981-01-01,6.9,5544914
19,1981-01-01,0.0,6574532
208,1981-01-01,6.0,6092745
68,1981-01-01,1.3,86772443
52,1981-01-01,1.1,76244680
157,1981-01-01,-4.0,79102343
469,1981-01-01,-9.5,79010487
183,1981-01-01,,17611223
708,1981-01-01,0.1,67210726
858,1981-01-01,-3.8,16247707
195,1981-01-01,-1.6,87250446
145,1981-01-01,1.4,20560328
294,1981-01-01,0.6,93049851
932,1981-01-01,0.6,70052031
72,1981-01-01,-0.5,65527069
517,1981-01-01,0.6,46046806
500,1981-01-01,1.1,25876123
84,1981-01-01,-1.2,43139873
767,1981-01-01,9.2,8880454
837,1981-01-01,2.9,86054092
997,1981-01-01,4.3,96103666
346,1981-01-01,6.0,19145025
312,1981-01-01,7.6,57643641
472,1981-01-01,-5.7,37521730
902,1981-01-01,,39900920
824,1981-01-01,2.5,88902669
665,1981-01-01,4.7,1481878
91,1981-01-01,0.6,96746132
831,1981-01-01,4.4,73592048
894,1981-01-01,4.2,59501566
480,1981-01-01,15.0,25678534
485,1981-01-01,,67900430
567,1981-01-01,4.1,13424445
484,1981-01-01,0.2,8909947
24,1981-01-01,7.2,64218719
499,1981-01-01,,91126019
392,1981-01-01,,4832143
743,1981-01-01,,62804304
140,1981-01-01,15.3,1367353
751,1981-01-01,,91851388
41,1981-01-01,0.5,34187516
646,1981-01-01,3.1,14679614
360,1981-01-01,,97957390
822,1981-01-01,-20.0,36520093
218,1981-01-01,,59043983
235,1981-01-01,0.8,4448030
