ISO3
AFG
ALB
DZA
ASM
AND
AGO
AIA
ATG
ARG
ARM
ABW
AUS
AUT
AZE
BHS
BHR
BGD
BRB
BLR
BEL
BLZ
BEN
BTN
BOL
BIH
BWA
BRA
VGB
BRN
BGR
BFA
BDI
CPV
KHM
CMR
CAN
CYM
CAF
TCD
CHL
HKG
MAC
CHN
COL
COM
COD
COG
COK
CRI
HRV
CUB
CYP
CZE
DNK
DJI
DMA
DOM
ECU
EGY
SLV
GNQ
ERI
EST
SWZ
ETH
FLK
FRO
FJI
FIN
FRA
PYF
GAB
GMB
GEO
DEU
GHA
GIB
GRC
GRL
GRD
GLP
GTM
GIN
GNB
GUY
HTI
VAT
HND
HUN
ISL
IND
IDN
IRN
IRQ
IRL
IMN
ISR
ITA
JAM
JPN
JOR
KAZ
KEN
KIR
PRK
KOR
KWT
KGZ
LAO
LVA
LBN
LSO
LBR
LBY
LIE
LTU
LUX
MDG
MWI
MYS
MDV
MLI
MLT
MHL
MTQ
MRT
MUS
MYT
MEX
FSM
MDA
MCO
MNG
MNE
MSR
MAR
MOZ
MMR
NAM
NRU
NPL
NLD
NCL
NZL
NIC
NER
NGA
NIU
NFK
MKD
NOR
OMN
PAK
PLW
PAN
PNG
PRY
PER
PHL
PCN
POL
PRT
PRI
QAT
ROU
RUS
RWA
SHN
SPM
WSM
SMR
STP
SAU
SEN
SRB
SYC
SLE
SGP
SVK
SVN
SLB
SOM
ZAF
SSD
ESP
LKA
KNA
LCA
VCT
SDN
SUR
SWE
CHE
SYR
TWN
TJK
TZA
THA
TLS
TGO
TKL
TON
TTO
TUN
TKM
TCA
TUV
UGA
UKR
ARE
GBR
USA
VIR
URY
UZB
VUT
VEN
VNM
WLF
PSE
ESH
WLD
YEM
ZMB
ZWE
