country_id,date,population,start,end,current
9089,1950-01-01,1284157,01.01.1900,31.12.9999,1
5288,1950-01-01,46391938,01.01.1900,31.12.9999,1
6674,1950-01-01,1407470,01.01.1900,31.12.9999,1
6552,1950-01-01,84353049,01.01.1900,31.12.9999,1
4363,1950-01-01,438386,01.01.1900,31.12.9999,1
4450,1950-01-01,6655675,01.01.1900,31.12.9999,1
3754,1950-01-01,5774050,01.01.1900,31.12.9999,1
5939,1950-01-01,37846,01.01.1900,31.12.9999,1
5927,1950-01-01,153738,01.01.1900,31.12.9999,1
8847,1950-01-01,1751225,01.01.1900,31.12.9999,1
1313,1950-01-01,1684674,01.01.1900,31.12.9999,1
3111,1950-01-01,1922525,01.01.1900,31.12.9999,1
1899,1950-01-01,1349588,01.01.1900,31.12.9999,1
1612,1950-01-01,579470,01.01.1900,31.12.9999,1
9882,1950-01-01,915894,01.01.1900,31.12.9999,1
9669,1950-01-01,1130677,01.01.1900,31.12.9999,1
3125,1950-01-01,13765,01.01.1900,31.12.9999,1
9898,1950-01-01,2564798,01.01.1900,31.12.9999,1
7830,1950-01-01,296584,01.01.1900,31.12.9999,1
3497,1950-01-01,3953896,01.01.1900,31.12.9999,1
3592,1950-01-01,2949739,01.01.1900,31.12.9999,1
6262,1950-01-01,5972876,01.01.1900,31.12.9999,1
2701,1950-01-01,74484,01.01.1900,31.12.9999,1
4228,1950-01-01,4694916,01.01.1900,31.12.9999,1
3964,1950-01-01,291873,01.01.1900,31.12.9999,1
8099,1950-01-01,13066,01.01.1900,31.12.9999,1
6596,1950-01-01,231994,01.01.1900,31.12.9999,1
2777,1950-01-01,658555,01.01.1900,31.12.9999,1
2792,1950-01-01,525443,01.01.1900,31.12.9999,1
6400,1950-01-01,20544,01.01.1900,31.12.9999,1
9800,1950-01-01,27600133,01.01.1900,31.12.9999,1
8489,1950-01-01,161656,01.01.1900,31.12.9999,1
1367,1950-01-01,2370311,01.01.1900,31.12.9999,1
2641,1950-01-01,19729,01.01.1900,31.12.9999,1
9877,1950-01-01,781260,01.01.1900,31.12.9999,1
1357,1950-01-01,402260,01.01.1900,31.12.9999,1
6446,1950-01-01,12989,01.01.1900,31.12.9999,1
3324,1950-01-01,8946209,01.01.1900,31.12.9999,1
9850,1950-01-01,5920215,01.01.1900,31.12.9999,1
7797,1950-01-01,17731818,01.01.1900,31.12.9999,1
2703,1950-01-01,514774,01.01.1900,31.12.9999,1
9288,1950-01-01,3354,01.01.1900,31.12.9999,1
3315,1950-01-01,8398945,01.01.1900,31.12.9999,1
7531,1950-01-01,10093554,01.01.1900,31.12.9999,1
5635,1950-01-01,63860,01.01.1900,31.12.9999,1
1811,1950-01-01,1911608,01.01.1900,31.12.9999,1
6130,1950-01-01,1330442,01.01.1900,31.12.9999,1
1507,1950-01-01,2569191,01.01.1900,31.12.9999,1
4777,1950-01-01,37189369,01.01.1900,31.12.9999,1
7875,1950-01-01,4485,01.01.1900,31.12.9999,1
4718,1950-01-01,11103379,01.01.1900,31.12.9999,1
6127,1950-01-01,1251433,01.01.1900,31.12.9999,1
1019,1950-01-01,7063,01.01.1900,31.12.9999,1
4283,1950-01-01,3281416,01.01.1900,31.12.9999,1
2939,1950-01-01,457317,01.01.1900,31.12.9999,1
5946,1950-01-01,37696264,01.01.1900,31.12.9999,1
7978,1950-01-01,7430,01.01.1900,31.12.9999,1
2232,1950-01-01,861079,01.01.1900,31.12.9999,1
6499,1950-01-01,1542854,01.01.1900,31.12.9999,1
8530,1950-01-01,1504810,01.01.1900,31.12.9999,1
2693,1950-01-01,7678967,01.01.1900,31.12.9999,1
1477,1950-01-01,18469878,01.01.1900,31.12.9999,1
7322,1950-01-01,24786236,01.01.1900,31.12.9999,1
4885,1950-01-01,8416952,01.01.1900,31.12.9999,1
7373,1950-01-01,2229742,01.01.1900,31.12.9999,1
3352,1950-01-01,24288,01.01.1900,31.12.9999,1
6771,1950-01-01,16392971,01.01.1900,31.12.9999,1
6070,1950-01-01,102580107,01.01.1900,31.12.9999,1
7426,1950-01-01,2154218,01.01.1900,31.12.9999,1
9065,1950-01-01,2007,01.01.1900,31.12.9999,1
9260,1950-01-01,86695,01.01.1900,31.12.9999,1
7092,1950-01-01,2978,01.01.1900,31.12.9999,1
3283,1950-01-01,87951,01.01.1900,31.12.9999,1
6251,1950-01-01,12963,01.01.1900,31.12.9999,1
7391,1950-01-01,3089693,01.01.1900,31.12.9999,1
5951,1950-01-01,2496065,01.01.1900,31.12.9999,1
1245,1950-01-01,6017683,01.01.1900,31.12.9999,1
3813,1950-01-01,38106,01.01.1900,31.12.9999,1
2946,1950-01-01,2000790,01.01.1900,31.12.9999,1
7069,1950-01-01,1006701,01.01.1900,31.12.9999,1
9088,1950-01-01,1458,01.01.1900,31.12.9999,1
3625,1950-01-01,3465617,01.01.1900,31.12.9999,1
5516,1950-01-01,1445033,01.01.1900,31.12.9999,1
9888,1950-01-01,105209,01.01.1900,31.12.9999,1
6544,1950-01-01,2213052,01.01.1900,31.12.9999,1
6951,1950-01-01,13043844,01.01.1900,31.12.9999,1
7514,1950-01-01,20104010,01.01.1900,31.12.9999,1
1955,1950-01-01,2492077,01.01.1900,31.12.9999,1
7526,1950-01-01,28069694,01.01.1900,31.12.9999,1
7632,1950-01-01,7945977,01.01.1900,31.12.9999,1
4452,1950-01-01,6191323,01.01.1900,31.12.9999,1
